listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
75683,Kiloranhouse Apt Prime Bedroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/5499026/efcee0e9_original.jpg,13,26997,Adriel,"","",false,-1.2848,36.7924,,,1,0.0,false,"Window guards,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Body soap,Breakfast,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Coffee,Clothing storage,Stove,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Outdoor playground,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Toaster",true,false,2,Moderate,KES,0,0,25,4.79,4.6,4.9,4.8,5.0,4.8,4.7,489.0,63142.0,48.2,6221.4,0.027,0.0,1.3,173.0,0.0,0.0,10,0,355,365,41.0,5297.0,42.7,5522.9,0.011,0.0,0.5,58.9,0.0,0.0,1,0,89,90
471581,Located In a Serene Environment,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/6434524/bcd9fbe4_original.jpg,37,2280941,Bella,"","",true,-1.2268,36.8577,3,2,2,1.0,false,"TV,Wifi,Kitchen,Free parking on premises,Hot water,Body soap,Resort access,Mosquito net,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Backyard,Essentials,Shampoo,Hangers,Iron,Dedicated workspace",false,false,2,Moderate,KES,0,0,81,4.81,4.8,4.8,4.7,4.9,4.8,4.8,5008.0,647258.0,42.2,5454.9,0.329,0.444,13.7,1773.3,18.5,2397.3,120,95,245,365,1587.0,205050.0,41.8,5395.0,0.422,0.613,17.6,2278.3,25.6,3307.3,38,28,52,90
906958,Makena's Place Karen - Flamingo Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/68ecc57f-d57b-4d12-bfa6-bbd1fb4107e3.jpg,29,4856316,Chichi,"","",true,-1.3240,36.7053,,,1,0.0,false,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",true,,1,Firm,KES,10,20,67,4.91,4.9,4.9,5.0,4.9,4.9,4.9,4652.0,601016.0,47.4,6123.4,0.274,0.0,12.7,1646.6,0.0,0.0,100,0,265,365,1098.0,141869.0,54.2,7004.4,0.233,0.0,12.2,1576.3,0.0,0.0,21,0,69,90
1023556,Guesthouse Near Nairobi National Park & Airport,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/ddd8badc-1f83-4a6e-827b-ec8f5b1dcd56.jpg,20,5634522,Janet,"","",false,-1.3222,36.7852,2,1,2,2.5,false,"TV,Blender,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Pets allowed,Hot water,Body soap,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Washer,Single level home,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Iron,Dedicated workspace,Freezer,Rice maker",false,false,1,Flexible,KES,5,0,154,4.84,4.9,4.9,4.9,4.9,4.7,4.8,215.0,27840.0,26.9,3469.8,0.03,0.0,0.6,76.3,0.0,0.0,11,0,354,365,58.0,7494.0,20.1,2591.3,0.033,0.0,0.6,83.3,0.0,0.0,3,0,87,90
1237886,Hob House,Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/cbdab7e1-f840-44ed-a028-6085d21ea284.jpg?aki_policy=medium,8,6748840,,"","",false,-1.2258,36.7679,2,7,9,1.0,,"Air conditioning,Kitchen,Dryer,Heating,Wifi,Free parking on premises,Hair dryer,Cable TV,Iron,Washer,TV,Breakfast,Hangers,Essentials,Indoor fireplace,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Shampoo,Bathtub,Baby bath,High chair,Children’s books and toys,Window guards,Fireplace guards,Babysitter recommendations,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Backyard,Luggage dropoff allowed,Long term stays allowed",,,1,Flexible,KES,0,20,57,4.79,4.8,4.8,4.9,4.6,4.7,4.8,1868.0,240825.0,122.6,15846.5,0.041,0.0,5.1,659.8,0.0,0.0,15,0,350,365,634.0,81916.0,124.6,16103.0,0.056,0.0,7.0,910.2,0.0,0.0,5,0,85,90
1803821,Makena's Place Karen - All Rooms,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/786899c5-b8a6-4453-bb73-a9f0e90add80.jpg,58,4856316,Chichi,"","",true,-1.3237,36.7059,,3,3,0.0,false,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",true,,1,Firm,KES,10,0,11,4.91,5.0,5.0,5.0,4.5,4.9,4.9,4627.0,597216.0,127.2,16430.1,0.099,0.115,12.7,1636.2,14.8,1914.2,36,53,329,365,127.0,16409.0,124.5,16080.1,0.011,0.012,1.4,182.3,1.6,202.6,1,9,89,90
1808465,Makena's Place Karen - K Girl & Gecko Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/cf1c76e0-0493-4149-bb66-1faea2658c8c.jpg,15,4856316,Chichi,"","",true,-1.3233,36.7077,,2,2,0.0,false,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",true,false,1,Firm,KES,5,30,78,4.97,5.0,5.0,5.0,5.0,5.0,5.0,2886.0,372948.0,32.3,4176.2,0.26,0.0,7.9,1021.8,0.0,0.0,95,0,270,365,489.0,63178.0,36.5,4714.4,0.144,0.0,5.4,702.0,0.0,0.0,13,0,77,90
2486516,Stunning guest cottage in tranquil setting,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2486516/original/05ea2fe5-9e30-43a6-af43-4b1273aedeff.jpeg,26,3934891,Jeremy,"","",true,-1.3734,36.7403,8,4,5,2.0,false,"TV,Window guards,Wifi,Pool,Crib,Kitchen,Board games,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Smoke alarm,BBQ grill,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Barbecue utensils,Private entrance",false,false,1,Moderate,KES,20,100,136,4.98,5.0,5.0,5.0,5.0,5.0,4.9,18171.0,2349281.0,169.9,21953.4,0.315,0.0,49.8,6436.4,0.0,0.0,115,0,250,365,4673.0,603770.0,222.6,28756.5,0.222,0.0,51.9,6708.6,0.0,0.0,20,0,70,90
2498391,Cosy 2 Bedroom Guest House in Lavington Green,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/5dbcd0fe-18af-4c93-b10d-5e02ae627a51.jpg,42,289048986,Ciru,"12788164,501477043","Stanley,Lorna",false,-1.2743,36.7746,2,2,2,1.0,false,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Single level home,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Iron,Dedicated workspace,Freezer,Toaster",false,false,2,Moderate,KES,2,0,19,4.95,5.0,4.9,4.8,5.0,5.0,4.8,3168.0,409538.0,60.6,7828.3,0.142,0.168,8.7,1122.0,10.3,1325.4,52,56,313,365,1951.0,252075.0,60.0,7750.8,0.356,0.395,21.7,2800.8,24.1,3112.0,32,9,58,90
2868580,Cosy Garden Cottage / House,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/37119989/faf28811_original.jpg,18,14663062,Jürgen,"","",true,-1.2298,36.7976,1,1,1,1.0,false,"Wifi,Kitchen,Free parking on premises,Hot water,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Iron,Dedicated workspace",false,false,3,Flexible,KES,17,0,43,4.91,5.0,5.0,4.9,5.0,4.9,4.9,8452.0,1091621.0,32.9,4254.5,0.71,0.751,23.2,2990.7,24.5,3164.1,259,20,106,365,2669.0,344841.0,35.0,4517.8,0.844,0.0,29.7,3831.6,0.0,0.0,76,0,14,90
